url_path,views_total,views_unique
/Fevol/obsidian-translate,143,90
/Fevol/obsidian-translate/blob/master/docs/TUTORIAL.md,31,8
/Fevol/obsidian-translate/blob/master/images/obsidian-windows-combined.png,16,14
/Fevol/obsidian-translate/issues,13,8
/fevol/obsidian-translate,7,5
/Fevol/obsidian-translate/issues/new,6,5
/Fevol/obsidian-translate/blob/master/docs/API.md,5,5
/Fevol/obsidian-translate/discussions,4,4
/Fevol/obsidian-translate/graphs/traffic,4,1
/Fevol/obsidian-translate/tree/master/src,3,3
