time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-02-13 00:00:00+00:00,4,3,15,6
2023-02-14 00:00:00+00:00,4,3,17,10
2023-02-15 00:00:00+00:00,11,3,15,11
2023-02-16 00:00:00+00:00,5,2,31,13
2023-02-17 00:00:00+00:00,1,1,7,5
2023-02-18 00:00:00+00:00,1,1,10,7
2023-02-19 00:00:00+00:00,1,1,13,7
2023-02-20 00:00:00+00:00,7,5,39,15
2023-02-21 00:00:00+00:00,1,1,26,7
2023-02-22 00:00:00+00:00,1,1,37,11
2023-02-23 00:00:00+00:00,2,2,22,11
2023-02-24 00:00:00+00:00,1,1,27,16
2023-02-25 00:00:00+00:00,1,1,19,10
2023-02-26 00:00:00+00:00,1,1,19,12
