referrer,views_total,views_unique
github.com,70,14
Google,63,45
obsidian.md,23,20
yandex.ru,9,4
Bing,7,3
DuckDuckGo,6,2
medium.com,4,2
eleanorkonik.com,3,2
ecosia.org,1,1
