time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-12-07 00:00:00+00:00,7,5,51,7
2022-12-08 00:00:00+00:00,1,1,57,8
2022-12-09 00:00:00+00:00,2,2,48,3
2022-12-10 00:00:00+00:00,1,1,41,6
2022-12-11 00:00:00+00:00,4,4,8,5
2022-12-12 00:00:00+00:00,3,2,9,2
2022-12-13 00:00:00+00:00,2,2,32,4
2022-12-14 00:00:00+00:00,1,1,29,3
2022-12-15 00:00:00+00:00,1,1,43,3
2022-12-16 00:00:00+00:00,1,1,11,4
2022-12-17 00:00:00+00:00,2,2,44,32
2022-12-18 00:00:00+00:00,2,2,37,20
2022-12-19 00:00:00+00:00,1,1,22,10
2022-12-20 00:00:00+00:00,1,1,19,11
