url_path,views_total,views_unique
/Fevol/obsidian-translate,367,193
/Fevol/obsidian-translate/issues,114,9
/Fevol/obsidian-translate/blob/master/docs/TUTORIAL.md,49,19
/Fevol/obsidian-translate/blob/master/images/obsidian-windows-combined.png,41,35
/fevol/obsidian-translate,41,13
/Fevol/obsidian-translate/commits/master,31,2
/Fevol/obsidian-translate/issues/35,30,1
/Fevol/obsidian-translate/releases/tag/1.4.3,29,11
/Fevol/obsidian-translate/tree/master/src,28,6
/Fevol/obsidian-translate/issues/37,27,3
