referrer,views_total,views_unique
Google,73,34
obsidian.md,17,13
github.com,15,5
forum.obsidian.md,4,3
DuckDuckGo,4,2
Bing,3,3
yandex.ru,2,1
obsidian-md.translate.goog,1,1
fr.search.yahoo.com,1,1
cn.bing.com,1,1
