referrer,views_total,views_unique
Google,52,29
obsidian.md,15,12
github.com,8,1
DuckDuckGo,5,3
yandex.ru,5,2
Bing,3,3
forum-zh.obsidian.md,2,2
cn.bing.com,2,1
qwant.com,1,1
edgeservices.bing.com,1,1
