referrer,views_total,views_unique
Google,59,36
obsidian.md,21,17
Bing,16,5
github.com,14,6
eleanorkonik.com,10,9
forum-zh.obsidian.md,6,4
DuckDuckGo,5,5
search.brave.com,4,2
yandex.ru,1,1
cn.bing.com,1,1
