time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-01-04 00:00:00+00:00,6.0,4.0,28,10
2023-01-05 00:00:00+00:00,1.0,1.0,13,7
2023-01-06 00:00:00+00:00,27.0,12.0,222,9
2023-01-07 00:00:00+00:00,1.0,1.0,95,40
2023-01-08 00:00:00+00:00,1.0,1.0,102,46
2023-01-09 00:00:00+00:00,5.0,4.0,98,27
2023-01-10 00:00:00+00:00,3.0,3.0,87,30
2023-01-11 00:00:00+00:00,7.0,4.0,79,15
2023-01-12 00:00:00+00:00,21.0,8.0,125,20
2023-01-13 00:00:00+00:00,2.0,2.0,46,15
2023-01-14 00:00:00+00:00,8.0,5.0,159,14
2023-01-15 00:00:00+00:00,3.0,3.0,37,18
2023-01-16 00:00:00+00:00,2.0,2.0,117,13
2023-01-17 00:00:00+00:00,,,33,13
