url_path,views_total,views_unique
/Fevol/obsidian-translate,163,106
/Fevol/obsidian-translate/blob/master/docs/TUTORIAL.md,32,13
/Fevol/obsidian-translate/blob/master/images/obsidian-windows-combined.png,27,23
/Fevol/obsidian-translate/issues,11,7
/Fevol/obsidian-translate/blob/master/docs/API.md,6,4
/Fevol/obsidian-translate/discussions,4,4
/Fevol/obsidian-translate/issues/new,4,3
/fevol/obsidian-translate,3,3
/Fevol/obsidian-translate/releases/tag/1.4.4,3,2
/Fevol/obsidian-translate/issues/27,2,2
