referrer,views_total,views_unique
Google,62,44
obsidian.md,27,22
github.com,20,3
Bing,8,4
DuckDuckGo,6,5
cn.bing.com,3,2
eleanorkonik.com,2,2
yandex.kz,2,1
medium.com,1,1
yandex.ru,1,1
