referrer,views_total,views_unique
Google,79,38
github.com,26,4
obsidian.md,21,16
Bing,16,4
search.brave.com,3,1
DuckDuckGo,2,2
eleanorkonik.com,2,2
medium.com,2,2
cn.bing.com,1,1
