referrer,views_total,views_unique
Google,67,44
obsidian.md,17,12
github.com,14,4
yandex.ru,6,3
DuckDuckGo,4,3
Bing,3,3
forum.obsidian.md,2,1
cn.bing.com,2,1
qwant.com,1,1
forum-zh.obsidian.md,1,1
