referrer,views_total,views_unique
github.com,328,15
Google,53,41
obsidianroundup.org,50,43
obsidian.md,23,17
cn.bing.com,10,3
mail.google.com,6,6
yandex.ru,5,5
DuckDuckGo,5,2
publish.obsidian.md,3,2
eleanorkonik.com,2,2
