url_path,views_total,views_unique
/Fevol/obsidian-translate,78,20
/Fevol/obsidian-translate/issues,25,2
/Fevol/obsidian-translate/commits/master,12,1
/Fevol/obsidian-translate/graphs/traffic,9,1
/Fevol/obsidian-translate/issues/27,9,1
/Fevol/obsidian-translate/blob/master/docs/TUTORIAL.md,6,2
/Fevol/obsidian-translate/pulse,5,1
/Fevol/obsidian-translate/tree/master/src,4,1
/Fevol/obsidian-translate/blob/github-repo-stats/Fevol/obsidian-translate/latest-report/report.pdf,3,1
/Fevol/obsidian-translate/issues/new,3,1
