url_path,views_total,views_unique
/Fevol/obsidian-translate,124,88
/Fevol/obsidian-translate/blob/master/docs/TUTORIAL.md,21,13
/Fevol/obsidian-translate/blob/master/images/obsidian-windows-combined.png,17,10
/Fevol/obsidian-translate/releases/tag/1.4.4,5,4
/Fevol/obsidian-translate/blob/master/docs/API.md,4,4
/Fevol/obsidian-translate/blob/75f5948ea8c19dcb447aee04bc910fb7d9da2023/src/typings/obsidian-ex.d.ts,4,1
/Fevol/obsidian-translate/tree/75f5948ea8c19dcb447aee04bc910fb7d9da2023/src,4,1
/Fevol/obsidian-translate/tree/75f5948ea8c19dcb447aee04bc910fb7d9da2023/src/typings,4,1
/fevol/obsidian-translate,3,3
/Fevol/obsidian-translate/search,3,2
