time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-03-20 00:00:00+00:00,2.0,2.0,10,7
2023-03-21 00:00:00+00:00,2.0,2.0,18,7
2023-03-22 00:00:00+00:00,3.0,3.0,11,8
2023-03-23 00:00:00+00:00,1.0,1.0,3,3
2023-03-24 00:00:00+00:00,2.0,2.0,14,6
2023-03-25 00:00:00+00:00,1.0,1.0,15,7
2023-03-26 00:00:00+00:00,2.0,2.0,13,6
2023-03-27 00:00:00+00:00,3.0,3.0,18,12
2023-03-28 00:00:00+00:00,2.0,2.0,21,10
2023-03-29 00:00:00+00:00,1.0,1.0,21,12
2023-03-30 00:00:00+00:00,3.0,3.0,69,27
2023-03-31 00:00:00+00:00,2.0,2.0,33,20
2023-04-01 00:00:00+00:00,2.0,2.0,15,7
2023-04-02 00:00:00+00:00,,,20,12
