url_path,views_total,views_unique
/Fevol/obsidian-translate,173,112
/Fevol/obsidian-translate/blob/master/docs/TUTORIAL.md,33,12
/Fevol/obsidian-translate/blob/master/images/obsidian-windows-combined.png,27,24
/Fevol/obsidian-translate/issues,13,8
/Fevol/obsidian-translate/blob/master/docs/API.md,7,5
/fevol/obsidian-translate,5,3
/Fevol/obsidian-translate/discussions,4,4
/Fevol/obsidian-translate/issues/new,4,3
/Fevol/obsidian-translate/blob/7e55c6fa0f44fc28dd3a7fd6411d43d712c07659/src/typings/obsidian-ex.d.ts,4,1
/Fevol/obsidian-translate/releases,3,3
