url_path,views_total,views_unique
/Fevol/obsidian-translate,89,24
/Fevol/obsidian-translate/tree/master/src,18,3
/fevol/obsidian-translate,17,6
/Fevol/obsidian-translate/issues,13,4
/Fevol/obsidian-translate/tree/master/src/ui,9,2
/Fevol/obsidian-translate/graphs/traffic,8,1
/Fevol/obsidian-translate/releases/tag/1.3.1,7,4
/Fevol/obsidian-translate/blob/master/docs/TUTORIAL.md,6,2
/Fevol/obsidian-translate/discussions,6,2
/Fevol/obsidian-translate/blob/9fe8d822ae57f17a79e5114744e1b5f5ac18c17e/tests/ApiHandlers.test.ts,5,3
