referrer,views_total,views_unique
github.com,97,11
obsidianroundup.org,27,19
Google,20,17
mail.google.com,8,6
forum-zh.obsidian.md,2,2
mail.qq.com,2,1
com.google.android.gm,1,1
Bing,1,1
DuckDuckGo,1,1
