url_path,views_total,views_unique
/Fevol/obsidian-translate,272,61
/Fevol/obsidian-translate/issues,47,8
/Fevol/obsidian-translate/commits/master,31,2
/Fevol/obsidian-translate/releases/tag/1.4.0,27,10
/Fevol/obsidian-translate/blob/master/docs/TUTORIAL.md,25,12
/Fevol/obsidian-translate/releases,24,9
/Fevol/obsidian-translate/blob/master/images/obsidian-windows-combined.png,17,11
/Fevol/obsidian-translate/tags,17,1
/Fevol/obsidian-translate/tree/master/src,12,4
/Fevol/obsidian-translate/stargazers,12,2
