url_path,views_total,views_unique
/Fevol/obsidian-translate,125,93
/Fevol/obsidian-translate/blob/master/images/obsidian-windows-combined.png,22,15
/Fevol/obsidian-translate/blob/master/docs/TUTORIAL.md,18,11
/Fevol/obsidian-translate/releases/tag/1.4.4,5,4
/Fevol/obsidian-translate/blob/75f5948ea8c19dcb447aee04bc910fb7d9da2023/src/typings/obsidian-ex.d.ts,5,2
/Fevol/obsidian-translate/blob/master/docs/API.md,4,4
/Fevol/obsidian-translate/tree/75f5948ea8c19dcb447aee04bc910fb7d9da2023/src,4,1
/Fevol/obsidian-translate/tree/75f5948ea8c19dcb447aee04bc910fb7d9da2023/src/typings,4,1
/Fevol/obsidian-translate/blob/master/docs/images/file-translate.gif,3,1
/Fevol/obsidian-translate/blob/master/images/obsidian-translate.gif,3,1
