referrer,views_total,views_unique
Google,54,33
obsidian.md,20,17
github.com,19,5
Bing,16,5
eleanorkonik.com,9,8
DuckDuckGo,5,5
search.brave.com,4,2
forum-zh.obsidian.md,2,1
yandex.ru,1,1
cn.bing.com,1,1
