url_path,views_total,views_unique
/Fevol/obsidian-translate,174,107
/Fevol/obsidian-translate/blob/master/docs/TUTORIAL.md,40,14
/Fevol/obsidian-translate/blob/master/images/obsidian-windows-combined.png,23,20
/Fevol/obsidian-translate/blob/master/docs/API.md,13,10
/fevol/obsidian-translate,12,3
/Fevol/obsidian-translate/commits/master,11,1
/Fevol/obsidian-translate/issues,10,5
/Fevol/obsidian-translate/graphs/traffic,9,1
/Fevol/obsidian-translate/issues/37,5,3
/Fevol/obsidian-translate/pulse,5,1
