url_path,views_total,views_unique
/Fevol/obsidian-translate,367,213
/Fevol/obsidian-translate/issues,89,10
/Fevol/obsidian-translate/blob/master/docs/TUTORIAL.md,49,18
/Fevol/obsidian-translate/blob/master/images/obsidian-windows-combined.png,45,37
/fevol/obsidian-translate,29,9
/Fevol/obsidian-translate/issues/37,28,3
/Fevol/obsidian-translate/tree/master/src,25,4
/Fevol/obsidian-translate/issues/38,24,1
/Fevol/obsidian-translate/graphs/traffic,21,1
/Fevol/obsidian-translate/commits/master,19,2
