url_path,views_total,views_unique
/Fevol/obsidian-translate,81,16
/Fevol/obsidian-translate/issues,20,3
/fevol/obsidian-translate,16,4
/Fevol/obsidian-translate/graphs/traffic,13,1
/Fevol/obsidian-translate/tree/github-repo-stats,12,3
/Fevol/obsidian-translate/tree/master/src,10,2
/Fevol/obsidian-translate/tree/github-repo-stats/Fevol/obsidian-translate,7,3
/Fevol/obsidian-translate/blob/9fe8d822ae57f17a79e5114744e1b5f5ac18c17e/src/handlers/google-translate.ts,7,2
/Fevol/obsidian-translate/blob/9fe8d822ae57f17a79e5114744e1b5f5ac18c17e/tests/ApiHandlers.test.ts,6,3
/Fevol/obsidian-translate/releases/tag/1.3.1,5,1
