url_path,views_total,views_unique
/Fevol/obsidian-translate,98,41
/Fevol/obsidian-translate/issues,27,3
/Fevol/obsidian-translate/tree/master/src/ui,8,1
/Fevol/obsidian-translate/tree/master/src,3,3
/Fevol/obsidian-translate/tree/master/src/ui/obsidian-components,3,1
/Fevol/obsidian-translate/tree/master/src/ui/translator-components,3,1
/Fevol/obsidian-translate/tree/synonym-provider,3,1
/Fevol/obsidian-translate/blob/master/docs/TUTORIAL.md,2,2
/Fevol/obsidian-translate/releases,2,2
/Fevol/obsidian-translate/tree/master/tests,2,2
