url_path,views_total,views_unique
/Fevol/obsidian-translate,154,108
/Fevol/obsidian-translate/blob/master/docs/TUTORIAL.md,30,8
/Fevol/obsidian-translate/blob/master/images/obsidian-windows-combined.png,17,15
/Fevol/obsidian-translate/issues,10,6
/fevol/obsidian-translate,8,4
/Fevol/obsidian-translate/issues/41,5,3
/Fevol/obsidian-translate/blob/master/docs/API.md,4,4
/Fevol/obsidian-translate/issues/40,2,2
/Fevol/obsidian-translate/releases/tag/1.4.4,2,2
/Fevol/obsidian-translate/commit/3438d8c248ad674ae999a945562baafe51714445,2,1
