url_path,views_total,views_unique
/Fevol/obsidian-translate,223,127
/Fevol/obsidian-translate/issues,65,9
/Fevol/obsidian-translate/blob/master/docs/TUTORIAL.md,50,18
/Fevol/obsidian-translate/issues/38,23,1
/fevol/obsidian-translate,21,5
/Fevol/obsidian-translate/blob/master/images/obsidian-windows-combined.png,19,16
/Fevol/obsidian-translate/commits/master,18,2
/Fevol/obsidian-translate/tree/master/src,16,3
/Fevol/obsidian-translate/releases/tag/1.4.4,14,5
/Fevol/obsidian-translate/blob/master/docs/API.md,13,7
