referrer,views_total,views_unique
Google,53,37
github.com,36,9
obsidian.md,22,17
eleanorkonik.com,10,9
forum-zh.obsidian.md,9,5
Bing,7,3
DuckDuckGo,4,4
search.brave.com,1,1
yandex.ru,1,1
