referrer,views_total,views_unique
Google,58,36
obsidian.md,20,16
github.com,17,4
Bing,16,5
DuckDuckGo,5,5
search.brave.com,3,1
eleanorkonik.com,2,2
medium.com,2,2
cn.bing.com,1,1
