url_path,views_total,views_unique
/Fevol/obsidian-translate,124,84
/Fevol/obsidian-translate/blob/master/docs/TUTORIAL.md,31,8
/Fevol/obsidian-translate/blob/master/images/obsidian-windows-combined.png,15,13
/Fevol/obsidian-translate/issues,8,5
/Fevol/obsidian-translate/issues/new,7,6
/Fevol/obsidian-translate/tree/master/src,7,4
/fevol/obsidian-translate,6,4
/Fevol/obsidian-translate/blob/master/docs/API.md,4,4
/Fevol/obsidian-translate/blob/master/src/handlers/google-translate.ts,4,2
/Fevol/obsidian-translate/tree/master/src/handlers,3,2
