time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-04-11 00:00:00+00:00,2,2,15,7
2023-04-12 00:00:00+00:00,1,1,9,6
2023-04-13 00:00:00+00:00,1,1,17,7
2023-04-14 00:00:00+00:00,1,1,14,7
2023-04-15 00:00:00+00:00,1,1,28,14
2023-04-16 00:00:00+00:00,1,1,31,6
2023-04-17 00:00:00+00:00,3,2,21,5
2023-04-18 00:00:00+00:00,2,2,11,6
2023-04-19 00:00:00+00:00,1,1,9,6
2023-04-20 00:00:00+00:00,1,1,9,9
2023-04-21 00:00:00+00:00,2,2,9,7
2023-04-22 00:00:00+00:00,2,2,7,6
2023-04-23 00:00:00+00:00,1,1,45,10
2023-04-24 00:00:00+00:00,2,1,26,8
