time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-12-23 00:00:00+00:00,1.0,1.0,23,9
2022-12-24 00:00:00+00:00,3.0,3.0,10,4
2022-12-25 00:00:00+00:00,2.0,2.0,11,6
2022-12-26 00:00:00+00:00,1.0,1.0,19,7
2022-12-27 00:00:00+00:00,10.0,6.0,76,10
2022-12-28 00:00:00+00:00,10.0,6.0,162,44
2022-12-29 00:00:00+00:00,6.0,4.0,151,46
2022-12-30 00:00:00+00:00,1.0,1.0,30,15
2022-12-31 00:00:00+00:00,2.0,2.0,21,8
2023-01-01 00:00:00+00:00,3.0,3.0,32,19
2023-01-02 00:00:00+00:00,2.0,2.0,17,11
2023-01-03 00:00:00+00:00,10.0,6.0,34,11
2023-01-04 00:00:00+00:00,6.0,4.0,28,10
2023-01-05 00:00:00+00:00,,,13,7
