referrer,views_total,views_unique
Google,71,33
obsidian.md,20,16
github.com,15,5
DuckDuckGo,4,2
Bing,3,3
yandex.ru,3,2
forum.obsidian.md,3,2
fr.search.yahoo.com,1,1
cn.bing.com,1,1
search.brave.com,1,1
