time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-11-30 00:00:00+00:00,14,8,78,10
2022-12-01 00:00:00+00:00,4,3,34,6
2022-12-02 00:00:00+00:00,15,9,146,12
2022-12-03 00:00:00+00:00,2,2,73,16
2022-12-04 00:00:00+00:00,3,3,25,6
2022-12-05 00:00:00+00:00,5,4,25,5
2022-12-06 00:00:00+00:00,5,3,54,8
2022-12-07 00:00:00+00:00,7,5,51,7
2022-12-08 00:00:00+00:00,1,1,57,8
2022-12-09 00:00:00+00:00,2,2,48,3
2022-12-10 00:00:00+00:00,1,1,41,6
2022-12-11 00:00:00+00:00,4,4,8,5
2022-12-12 00:00:00+00:00,3,2,9,2
2022-12-13 00:00:00+00:00,1,1,32,4
