referrer,views_total,views_unique
Google,60,34
obsidian.md,18,14
github.com,9,2
DuckDuckGo,5,3
yandex.ru,5,2
Bing,4,4
forum-zh.obsidian.md,2,2
cn.bing.com,2,1
edgeservices.bing.com,1,1
qwant.com,1,1
