referrer,views_total,views_unique
Google,50,37
obsidian.md,19,17
github.com,17,7
Bing,16,5
eleanorkonik.com,10,9
forum-zh.obsidian.md,9,5
DuckDuckGo,5,5
search.brave.com,1,1
yandex.ru,1,1
cn.bing.com,1,1
