referrer,views_total,views_unique
Google,65,42
github.com,40,8
obsidian.md,28,20
eleanorkonik.com,7,7
forum-zh.obsidian.md,7,4
medium.com,3,2
Bing,3,1
DuckDuckGo,2,2
obsidianroundup.org,1,1
feedreader.com,1,1
