url_path,views_total,views_unique
/Fevol/obsidian-translate,138,77
/Fevol/obsidian-translate/blob/master/images/obsidian-windows-combined.png,20,17
/Fevol/obsidian-translate/blob/master/docs/TUTORIAL.md,7,7
/Fevol/obsidian-translate/blob/master/docs/API.md,6,5
/Fevol/obsidian-translate/issues,4,4
/Fevol/obsidian-translate/pulse,3,3
/Fevol/obsidian-translate/blob/master/src/README.md,3,2
/Fevol/obsidian-translate/blob/master/docs/images/auto-translate.gif,3,1
/Fevol/obsidian-translate/releases/tag/1.4.4,2,2
/Fevol/obsidian-translate/tree/master/docs,2,2
