time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-12-26 00:00:00+00:00,1.0,1.0,19,7
2022-12-27 00:00:00+00:00,10.0,6.0,76,10
2022-12-28 00:00:00+00:00,10.0,6.0,162,44
2022-12-29 00:00:00+00:00,6.0,4.0,151,46
2022-12-30 00:00:00+00:00,1.0,1.0,30,15
2022-12-31 00:00:00+00:00,2.0,2.0,21,8
2023-01-01 00:00:00+00:00,3.0,3.0,32,19
2023-01-02 00:00:00+00:00,2.0,2.0,17,11
2023-01-03 00:00:00+00:00,10.0,6.0,34,11
2023-01-04 00:00:00+00:00,6.0,4.0,28,10
2023-01-05 00:00:00+00:00,1.0,1.0,13,7
2023-01-06 00:00:00+00:00,27.0,12.0,222,9
2023-01-07 00:00:00+00:00,1.0,1.0,95,40
2023-01-08 00:00:00+00:00,,,96,42
