url_path,views_total,views_unique
/Fevol/obsidian-translate,159,94
/Fevol/obsidian-translate/blob/master/images/obsidian-windows-combined.png,19,17
/fevol/obsidian-translate,15,1
/Fevol/obsidian-translate/issues,8,1
/Fevol/obsidian-translate/tree/master/__mocks__,7,3
/Fevol/obsidian-translate/stargazers,7,1
/Fevol/obsidian-translate/releases/tag/1.4.1,6,6
/Fevol/obsidian-translate/releases,5,4
/Fevol/obsidian-translate/blob/master/__mocks__/obsidian.ts,5,3
/Fevol/obsidian-translate/tree/master/src,5,2
