referrer,views_total,views_unique
Google,50,28
obsidian.md,18,13
github.com,4,2
DuckDuckGo,4,2
Bing,2,2
yandex.ru,2,1
forum-zh.obsidian.md,1,1
cn.bing.com,1,1
ecosia.org,1,1
edgeservices.bing.com,1,1
