referrer,views_total,views_unique
Google,62,36
obsidian.md,19,14
github.com,9,2
Bing,5,5
yandex.ru,5,2
DuckDuckGo,4,2
forum-zh.obsidian.md,2,2
cn.bing.com,2,1
qwant.com,1,1
