url_path,views_total,views_unique
/Fevol/obsidian-translate,126,66
/Fevol/obsidian-translate/blob/master/images/obsidian-windows-combined.png,15,13
/Fevol/obsidian-translate/blob/master/docs/TUTORIAL.md,12,8
/Fevol/obsidian-translate/issues,11,8
/Fevol/obsidian-translate/blob/master/docs/API.md,7,4
/Fevol/obsidian-translate/pulse,5,3
/Fevol/obsidian-translate/blob/master/src/README.md,4,3
/Fevol/obsidian-translate/issues/new,4,2
/Fevol/obsidian-translate/blob/master/docs/images/auto-translate.gif,3,1
/Fevol/obsidian-translate/issues/48,2,2
