time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-09-18 00:00:00+00:00,1,1,5,2
2022-09-19 00:00:00+00:00,2,2,10,5
2022-09-20 00:00:00+00:00,3,3,10,2
2022-09-21 00:00:00+00:00,2,2,5,4
2022-09-22 00:00:00+00:00,1,1,2,2
2022-09-23 00:00:00+00:00,2,2,38,17
2022-09-24 00:00:00+00:00,1,1,43,17
2022-09-25 00:00:00+00:00,1,1,21,4
2022-09-26 00:00:00+00:00,5,3,31,5
2022-09-27 00:00:00+00:00,2,2,32,6
2022-09-28 00:00:00+00:00,1,1,20,6
2022-09-29 00:00:00+00:00,2,2,9,3
2022-09-30 00:00:00+00:00,5,4,59,5
2022-10-01 00:00:00+00:00,3,3,52,6
