url_path,views_total,views_unique
/Fevol/obsidian-translate,149,95
/Fevol/obsidian-translate/blob/master/docs/TUTORIAL.md,26,14
/Fevol/obsidian-translate/blob/master/images/obsidian-windows-combined.png,21,16
/Fevol/obsidian-translate/issues,19,6
/Fevol/obsidian-translate/blob/master/docs/API.md,15,7
/Fevol/obsidian-translate/releases/tag/1.4.4,9,7
/Fevol/obsidian-translate/issues/45,7,2
/Fevol/obsidian-translate/issues/new,6,3
/fevol/obsidian-translate,4,3
/Fevol/obsidian-translate/tree/master/images,4,3
