time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-08-23 00:00:00+00:00,,,31,2
2022-08-24 00:00:00+00:00,,,3,2
2022-08-25 00:00:00+00:00,,,10,1
2022-08-26 00:00:00+00:00,,,26,2
2022-08-27 00:00:00+00:00,7.0,6.0,64,6
2022-08-28 00:00:00+00:00,1.0,1.0,28,3
2022-08-29 00:00:00+00:00,1.0,1.0,11,3
2022-08-30 00:00:00+00:00,1.0,1.0,6,3
2022-08-31 00:00:00+00:00,8.0,5.0,33,5
2022-09-01 00:00:00+00:00,2.0,2.0,21,3
2022-09-02 00:00:00+00:00,2.0,2.0,3,3
2022-09-03 00:00:00+00:00,2.0,2.0,65,6
2022-09-04 00:00:00+00:00,3.0,2.0,19,4
2022-09-05 00:00:00+00:00,,,27,6
