url_path,views_total,views_unique
/Fevol/obsidian-translate,216,128
/Fevol/obsidian-translate/blob/master/docs/TUTORIAL.md,50,16
/Fevol/obsidian-translate/issues,48,9
/Fevol/obsidian-translate/blob/master/images/obsidian-windows-combined.png,22,19
/fevol/obsidian-translate,19,4
/Fevol/obsidian-translate/commits/master,17,2
/Fevol/obsidian-translate/issues/38,15,1
/Fevol/obsidian-translate/blob/master/docs/API.md,14,8
/Fevol/obsidian-translate/releases/tag/1.4.4,14,5
/Fevol/obsidian-translate/tree/master/src,14,3
