referrer,views_total,views_unique
Google,78,37
github.com,32,7
obsidian.md,22,19
Bing,4,4
DuckDuckGo,4,2
forum.obsidian.md,3,2
eleanorkonik.com,3,2
search.brave.com,1,1
yandex.ru,1,1
medium.com,1,1
