time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-08-29 00:00:00+00:00,1.0,1.0,11,3
2022-08-30 00:00:00+00:00,1.0,1.0,6,3
2022-08-31 00:00:00+00:00,8.0,5.0,33,5
2022-09-01 00:00:00+00:00,2.0,2.0,21,3
2022-09-02 00:00:00+00:00,2.0,2.0,3,3
2022-09-03 00:00:00+00:00,2.0,2.0,65,6
2022-09-04 00:00:00+00:00,3.0,2.0,19,4
2022-09-05 00:00:00+00:00,1.0,1.0,27,6
2022-09-06 00:00:00+00:00,3.0,2.0,32,5
2022-09-07 00:00:00+00:00,2.0,2.0,31,6
2022-09-08 00:00:00+00:00,1.0,1.0,7,3
2022-09-09 00:00:00+00:00,2.0,2.0,18,2
2022-09-10 00:00:00+00:00,4.0,3.0,24,2
2022-09-11 00:00:00+00:00,,,22,4
