url_path,views_total,views_unique
/Fevol/obsidian-translate,205,113
/Fevol/obsidian-translate/blob/master/docs/TUTORIAL.md,37,13
/Fevol/obsidian-translate/issues,33,8
/Fevol/obsidian-translate/commits/master,25,2
/Fevol/obsidian-translate/blob/master/images/obsidian-windows-combined.png,21,18
/fevol/obsidian-translate,17,4
/Fevol/obsidian-translate/releases/tag/1.4.4,15,6
/Fevol/obsidian-translate/blob/master/docs/API.md,14,8
/Fevol/obsidian-translate/issues/39,9,1
/Fevol/obsidian-translate/blob/master/src/l10n/locale/en.ts,8,1
