url_path,views_total,views_unique
/Fevol/obsidian-translate,125,76
/Fevol/obsidian-translate/blob/master/docs/TUTORIAL.md,24,12
/Fevol/obsidian-translate/blob/master/docs/API.md,16,6
/Fevol/obsidian-translate/blob/master/images/obsidian-windows-combined.png,14,11
/Fevol/obsidian-translate/issues,12,7
/Fevol/obsidian-translate/releases/tag/1.4.4,6,4
/fevol/obsidian-translate,5,4
/Fevol/obsidian-translate/issues/new,5,3
/Fevol/obsidian-translate/search,4,3
/Fevol/obsidian-translate/tree/master/models,4,3
