time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-12-29 00:00:00+00:00,6,4,151,46
2022-12-30 00:00:00+00:00,1,1,30,15
2022-12-31 00:00:00+00:00,2,2,21,8
2023-01-01 00:00:00+00:00,3,3,32,19
2023-01-02 00:00:00+00:00,2,2,17,11
2023-01-03 00:00:00+00:00,10,6,34,11
2023-01-04 00:00:00+00:00,6,4,28,10
2023-01-05 00:00:00+00:00,1,1,13,7
2023-01-06 00:00:00+00:00,27,12,222,9
2023-01-07 00:00:00+00:00,1,1,95,40
2023-01-08 00:00:00+00:00,1,1,102,46
2023-01-09 00:00:00+00:00,5,4,98,27
2023-01-10 00:00:00+00:00,3,3,87,30
2023-01-11 00:00:00+00:00,6,3,69,15
