url_path,views_total,views_unique
/Fevol/obsidian-translate,170,111
/Fevol/obsidian-translate/blob/master/docs/TUTORIAL.md,34,14
/Fevol/obsidian-translate/blob/master/images/obsidian-windows-combined.png,28,24
/Fevol/obsidian-translate/issues,12,7
/Fevol/obsidian-translate/blob/master/docs/API.md,6,4
/fevol/obsidian-translate,4,4
/Fevol/obsidian-translate/issues/42,4,1
/Fevol/obsidian-translate/discussions,3,3
/Fevol/obsidian-translate/releases/tag/1.4.4,3,2
/Fevol/obsidian-translate/issues/27,2,2
