time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-10-28 00:00:00+00:00,3.0,3.0,2,2
2022-10-29 00:00:00+00:00,1.0,1.0,3,3
2022-10-30 00:00:00+00:00,2.0,2.0,46,5
2022-10-31 00:00:00+00:00,2.0,2.0,8,4
2022-11-01 00:00:00+00:00,1.0,1.0,15,4
2022-11-02 00:00:00+00:00,2.0,2.0,20,5
2022-11-03 00:00:00+00:00,4.0,4.0,8,4
2022-11-04 00:00:00+00:00,1.0,1.0,7,4
2022-11-05 00:00:00+00:00,1.0,1.0,11,1
2022-11-06 00:00:00+00:00,2.0,2.0,3,2
2022-11-07 00:00:00+00:00,3.0,3.0,7,5
2022-11-08 00:00:00+00:00,2.0,2.0,2,2
2022-11-09 00:00:00+00:00,5.0,5.0,3,3
2022-11-10 00:00:00+00:00,,,12,5
