referrer,views_total,views_unique
github.com,197,5
Google,58,43
obsidian.md,30,23
obsidianroundup.org,7,7
eleanorkonik.com,6,6
yandex.ru,3,3
medium.com,3,2
cn.bing.com,2,1
publish.obsidian.md,1,1
app.raindrop.io,1,1
