url_path,views_total,views_unique
/Fevol/obsidian-translate,255,145
/Fevol/obsidian-translate/issues,74,10
/Fevol/obsidian-translate/blob/master/docs/TUTORIAL.md,48,16
/Fevol/obsidian-translate/issues/38,24,1
/fevol/obsidian-translate,21,6
/Fevol/obsidian-translate/tree/master/src,21,4
/Fevol/obsidian-translate/blob/master/images/obsidian-windows-combined.png,20,17
/Fevol/obsidian-translate/commits/master,18,2
/Fevol/obsidian-translate/issues/37,16,4
/Fevol/obsidian-translate/releases/tag/1.4.4,14,5
