referrer,views_total,views_unique
Google,49,35
github.com,19,6
obsidian.md,18,16
eleanorkonik.com,10,9
forum-zh.obsidian.md,9,5
Bing,8,4
DuckDuckGo,5,5
search.brave.com,1,1
yandex.ru,1,1
